Time,P3,F3,C3,Cz,T7,P4,F4,C4,T8
0,-42.49050259,939.2527406,282.5643855,272.789118,622.6455348,904.0094583,608.0987473,-9.878963441,291.9367243
0.002,-40.50124478,947.2993714,284.1737605,273.5718329,626.4228785,905.1940896,611.6749192,-8.895503969,294.0824763
0.004,-40.00954556,951.9038636,284.419366,273.6387274,627.3840602,906.5128457,615.8995286,-8.113216371,293.8813044
0.006,-40.88112759,949.690973,285.4701472,274.9575751,626.9370387,907.3175027,611.586052,-6.995601625,292.7860896
0.008,-43.13894009,947.2770326,285.0228816,275.6948797,625.3948024,904.5906045,603.6505051,-7.822627992,289.9921443
0.01,-47.54177212,954.8318421,284.7098933,277.4829657,625.0818141,901.9083841,602.6446457,-6.950923891,291.8697077
0.012,-48.83815884,956.0388734,283.5702449,277.3042547,623.0254176,902.0425088,607.226677,-5.989803285,294.1048152
0.014,-45.821069,952.0825746,284.240655,278.2207587,623.673611,904.1212137,610.5128098,-4.805110902,296.3847224
0.016,-43.5188229,948.3722474,286.1630183,277.4829657,625.4170192,904.6576516,610.8926926,-4.62633893,294.3507868
0.018,-43.11647915,941.1526429,286.4760066,275.6055243,624.8359645,904.4788492,610.0655442,-3.128780336,292.4955622
0.02,-41.55153775,930.7814271,289.4262019,275.8960516,624.3218043,905.305845,611.4063645,-5.095699281,290.9756648
0.022,-43.18337368,920.8572328,285.313409,275.0469305,621.8183863,903.9870889,609.5743332,-8.046138734,292.0932185
0.024,-46.04421353,932.6141908,281.3348933,274.6445868,618.9128688,903.2718484,610.1778489,-6.593257875,294.4624812
0.026,-51.54274868,962.9008119,271.7460261,274.9795477,620.7678492,903.1824319,613.3956223,-2.882869691,300.6762263
0.028,-51.56520962,950.6073548,277.5575496,275.7398016,625.3501246,901.1037271,613.820427,-4.313411684,303.3584773
0.03,-50.20192837,943.8347718,283.2347957,276.007868,623.8747828,899.3379495,614.5362473,-4.760433168,299.5810115
0.032,-50.961694,945.2653138,278.4965144,272.9458563,616.2529567,898.0415323,614.2452317,-6.325069398,290.7298152
0.034,-49.48659634,944.7959535,275.4789363,272.1411688,612.810818,899.0026529,612.1446457,-2.614681215,282.3925349
0.036,-45.35134243,946.0923402,276.6410457,272.1411688,615.7165797,900.6566751,612.1895676,-2.435848207,284.4936091
0.038,-43.6750729,947.4334046,278.9882136,273.2363837,620.27615,899.9190652,615.8995286,-9.655452699,289.6344783
0.04,-43.25026822,944.5054261,279.6137019,273.370661,618.8232692,899.0920694,619.2745286,-11.06365582,288.9862849
0.042,-44.01052212,942.0020081,279.7704402,272.6773016,619.9634059,896.5216043,622.5831223,-13.701107,289.3662898
0.044,-45.64186978,938.2915589,280.6644832,272.3198797,619.1587184,895.4934366,613.8428879,-12.56121442,288.4275691
0.046,-46.53640103,937.4868714,279.7030574,272.811579,619.4714625,896.0075357,604.6788254,-9.878963441,288.0699031
0.048,-49.28542447,939.0962464,276.3729793,273.0352118,618.5552028,895.3369729,600.4542161,-9.946041078,288.0252253
0.05,-51.7219479,940.9738099,276.931573,273.1245672,617.3257106,894.1523416,602.8458176,-9.36486432,289.3662898
0.052,-51.40895962,942.3372132,278.1835261,272.1856024,616.4316676,896.1863382,606.8917161,-7.308528871,291.8920466
0.054,-48.72683072,945.0864808,280.306573,272.073786,617.8174098,898.0415323,611.7198411,-7.040340395,292.9425837
0.056,-47.47487759,944.2147767,281.4916316,272.4092352,618.7116969,895.8734109,609.1270676,-9.81194684,290.5956599
0.058,-46.20095181,939.6104066,283.1903621,271.5376532,617.5493434,895.8734109,604.0753098,-11.57769391,287.3993708
0.06,-44.05495572,940.9291322,283.8383113,270.5317938,621.2820094,895.1358011,600.4092942,-10.21429059,288.6510798
0.062,-44.74782681,945.9135072,282.4970027,270.7773993,624.4114039,893.3923623,599.0010911,-10.4601402,288.4945857
0.064,-45.53054165,944.3936097,281.4017879,271.6270087,622.5783961,893.5935342,598.5772629,-11.62243268,287.6005427
0.066,-47.16188931,941.845514,280.4408504,272.2529852,620.8574488,893.3253152,596.9903489,-11.89062116,287.7345759
0.068,-48.81618618,949.869806,279.1444636,273.8174383,620.4551051,893.8394143,596.0508957,-11.64477155,288.3380915
0.07,-50.55935025,949.8027894,278.7421199,276.4995672,622.9807399,893.9511697,599.6270676,-9.163753481,292.2720515
0.072,-50.60427212,942.4937074,280.306573,278.7793524,625.0371363,892.3865335,603.2032395,-8.202632875,295.6918513
0.074,-49.88894009,936.5928285,282.1171199,277.9746649,624.1206324,891.0007303,603.1143723,-9.744869203,295.6918513
0.076,-47.54177212,933.4412171,282.63128,276.8794501,623.3830836,892.3865335,604.0977707,-8.090816469,292.897906
0.078,-47.07253384,921.170099,281.2230769,278.3325751,622.3103297,893.8617532,603.9415207,-6.347408266,294.6859919
0.08,-46.17849087,914.9786927,281.1561824,278.511286,622.9585231,894.6887796,606.4893723,-4.492244691,296.4294001
0.082,-44.68093228,929.9320619,282.0502254,277.1480047,623.6513942,894.0405862,611.6299973,-5.989803285,295.3565241
0.084,-42.64675259,946.4276673,282.2513972,277.0361883,622.6902125,895.7169473,612.9268723,-7.867305727,288.9862849
0.086,-44.16677212,945.6229798,279.9042293,276.6782782,618.9575465,895.6946084,611.2950364,-8.269649477,288.6287409
0.088,-45.46315884,940.3479554,278.9208308,277.795954,616.5210231,895.7393167,610.6915207,-6.257991762,291.1544978
0.09,-46.04421353,934.1342103,278.0717097,278.7793524,613.1235621,898.9132364,606.9366379,1.788639098,289.321612
